Timestamp;Temp;Hum;OFFCHIP_PLATINUM_78kHz_IN-PHASE;OFFCHIP_GOLD_78kHz_IN-PHASE;OFFCHIP_PLATINUM_200Hz_IN-PHASE;OFFCHIP_PLATINUM_200Hz_QUADRATURE;OFFCHIP_GOLD_200Hz_IN-PHASE;OFFCHIP_GOLD_200Hz_QUADRATURE;OFFCHIP_SILVER_200Hz_IN-PHASE;OFFCHIP_SILVER_200Hz_QUADRATURE;OFFCHIP_NICKEL_200Hz_IN-PHASE;OFFCHIP_NICKEL_200Hz_QUADRATURE;DISTANCE;STATE;FILTERED_ANALYTE;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;
12.154;----;----;922.5854;13132.476;6382.1826;-5598.379;2299.0632;-2197.6248;5545.5386;-2891.0813;1350.227;-2048.524;358.8037;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
13.244;----;----;922.6738;13131.759;6386.734;-5607.543;2299.8093;-2200.3357;5547.255;-2893.5137;1349.8379;-2049.9287;347.62866;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
14.336;----;----;922.7567;13131.398;6392.0005;-5616.009;2300.6963;-2202.9397;5548.239;-2895.9814;1348.973;-2051.1206;239.65155;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
15.426;----;----;922.8969;13131.061;6398.1255;-5621.1333;2302.2153;-2204.5059;5548.286;-2896.6702;1348.8497;-2051.4255;288.95966;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
16.518;----;----;922.9659;13130.557;6402.805;-5628.875;2303.2644;-2206.5366;5547.7056;-2897.8157;1348.2966;-2052.3364;188.68457;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
17.605;----;----;923.093;13129.959;6407.5674;-5631.8203;2304.8103;-2206.8782;5547.599;-2896.7646;1347.9656;-2051.5654;237.02533;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
18.7;----;----;923.2122;13129.524;6413.0317;-5636.5815;2306.1973;-2208.3857;5548.4365;-2897.2168;1347.4053;-2051.8425;340.33545;BA;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
19.79;----;----;923.324;13128.866;6418.9673;-5644.733;2306.9976;-2210.7366;5548.909;-2899.3281;1346.3174;-2052.8525;301.25244;BA;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
20.875;----;----;923.4287;13128.25;6425.219;-5651.187;2308.6853;-2212.753;5549.4775;-2900.5576;1345.9851;-2053.6743;179.7619;BT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
21.958;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;208.7619;BSP;TRACKING;WATER;100.0;-;99.0;HYDROCHLORICACID;0.0;-;79.1;NELSEN;0.0;-;98.2;ACETONE;0.0;-;80.5;SODIUM_HYPOCHLORITE;0.0;-;97.3;FORMICACID;0.0;-;83.4;ACETICACID;0.0;-;96.2;ETHANOL;0.0;-;92.1;PHOSPHORICACID;0.0;-;89.4;HYDROGENPEROXIDE;0.0;-;67.0;SODIUM_CHLORIDE;0.0;-;90.3;;
23.037;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;257.84442;BSP;TRACKING;WATER;100.0;-;99.0;HYDROCHLORICACID;0.0;-;79.1;NELSEN;0.0;-;98.2;ACETONE;0.0;-;80.5;SODIUM_HYPOCHLORITE;0.0;-;97.3;FORMICACID;0.0;-;83.4;ACETICACID;0.0;-;96.2;ETHANOL;0.0;-;92.1;PHOSPHORICACID;0.0;-;89.4;HYDROGENPEROXIDE;0.0;-;67.0;SODIUM_CHLORIDE;0.0;-;90.3;;
24.126;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;251.02069;BSP;WATER;WATER;100.0;-;99.0;HYDROCHLORICACID;0.0;-;79.1;NELSEN;0.0;-;98.2;ACETONE;0.0;-;80.5;SODIUM_HYPOCHLORITE;0.0;-;97.3;FORMICACID;0.0;-;83.4;ACETICACID;0.0;-;96.2;ETHANOL;0.0;-;92.1;PHOSPHORICACID;0.0;-;89.4;HYDROGENPEROXIDE;0.0;-;67.0;SODIUM_CHLORIDE;0.0;-;90.3;;
25.225;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;415.049;BSP;WATER;WATER;100.0;-;99.0;HYDROCHLORICACID;0.0;-;79.1;NELSEN;0.0;-;98.2;ACETONE;0.0;-;80.5;SODIUM_HYPOCHLORITE;0.0;-;97.3;FORMICACID;0.0;-;83.4;ACETICACID;0.0;-;96.2;ETHANOL;0.0;-;92.1;PHOSPHORICACID;0.0;-;89.4;HYDROGENPEROXIDE;0.0;-;67.0;SODIUM_CHLORIDE;0.0;-;90.3;;
26.314;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;326.10284;BSP;WATER;WATER;100.0;-;99.0;HYDROCHLORICACID;0.0;-;79.1;NELSEN;0.0;-;98.2;ACETONE;0.0;-;80.5;SODIUM_HYPOCHLORITE;0.0;-;97.3;FORMICACID;0.0;-;83.4;ACETICACID;0.0;-;96.2;ETHANOL;0.0;-;92.1;PHOSPHORICACID;0.0;-;89.4;HYDROGENPEROXIDE;0.0;-;67.0;SODIUM_CHLORIDE;0.0;-;90.3;;
27.414;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;424.56952;BS;WATER;WATER;100.0;1;99.0;HYDROCHLORICACID;0.0;-;79.1;NELSEN;0.0;-;98.2;ACETONE;0.0;-;80.5;SODIUM_HYPOCHLORITE;0.0;-;97.3;FORMICACID;0.0;-;83.4;ACETICACID;0.0;-;96.2;ETHANOL;0.0;-;92.1;PHOSPHORICACID;0.0;-;89.4;HYDROGENPEROXIDE;0.0;-;67.0;SODIUM_CHLORIDE;0.0;-;90.3;;
28.503;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;300.0207;BS;WATER;WATER;87.99987;1;99.0;HYDROCHLORICACID;7.000004;-;79.1;NELSEN;5.0000067;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
29.599;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;378.10284;BS;WATER;WATER;55.44547;1;99.0;HYDROCHLORICACID;34.653427;-;79.1;NELSEN;9.900989;-;98.2;ACETONE;1.4696414E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4696414E-5;-;97.3;FORMICACID;1.4696414E-5;-;83.4;ACETICACID;1.4696414E-5;-;96.2;ETHANOL;1.4696414E-5;-;92.1;PHOSPHORICACID;1.4696414E-5;-;89.4;HYDROGENPEROXIDE;1.4696414E-5;-;67.0;SODIUM_CHLORIDE;1.4696414E-5;-;90.3;;
30.681;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;384.62335;BS;WATER;WATER;62.99991;1;99.0;HYDROCHLORICACID;31.999964;-;79.1;NELSEN;5.0000067;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
31.766;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;497.10284;BS;WATER;WATER;78.999886;1;99.0;HYDROCHLORICACID;16.999987;-;79.1;NELSEN;4.0000086;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
32.857;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;519.049;BS;WATER;WATER;72.99989;1;99.0;HYDROCHLORICACID;21.999979;-;79.1;NELSEN;5.0000067;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
33.944;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;503.049;BS;WATER;WATER;59.99992;1;99.0;HYDROCHLORICACID;31.999964;-;79.1;NELSEN;8.000002;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
35.036;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;471.049;BS;WATER;WATER;71.99989;1;99.0;HYDROCHLORICACID;23.999975;-;79.1;NELSEN;4.0000086;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
36.131;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;452.56952;BS;WATER;WATER;64.356346;1;99.0;HYDROCHLORICACID;31.683132;-;79.1;NELSEN;3.9604042;-;98.2;ACETONE;1.4696414E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4696414E-5;-;97.3;FORMICACID;1.4696414E-5;-;83.4;ACETICACID;1.4696414E-5;-;96.2;ETHANOL;1.4696414E-5;-;92.1;PHOSPHORICACID;1.4696414E-5;-;89.4;HYDROGENPEROXIDE;1.4696414E-5;-;67.0;SODIUM_CHLORIDE;1.4696414E-5;-;90.3;;
37.225;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;400.85907;BS;WATER;WATER;63.366245;1;99.0;HYDROCHLORICACID;32.67323;-;79.1;NELSEN;3.9604042;-;98.2;ACETONE;1.4696414E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4696414E-5;-;97.3;FORMICACID;1.4696414E-5;-;83.4;ACETICACID;1.4696414E-5;-;96.2;ETHANOL;1.4696414E-5;-;92.1;PHOSPHORICACID;1.4696414E-5;-;89.4;HYDROGENPEROXIDE;1.4696414E-5;-;67.0;SODIUM_CHLORIDE;1.4696414E-5;-;90.3;;
38.308;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;388.07452;BS;WATER;WATER;83.99988;1;99.0;HYDROCHLORICACID;9.0;-;79.1;NELSEN;7.000004;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
39.393;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;414.85907;BS;WATER;WATER;73.99989;1;99.0;HYDROCHLORICACID;23.999975;-;79.1;NELSEN;2.0000114;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
40.486;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;425.92352;BS;WATER;WATER;65.99991;1;99.0;HYDROCHLORICACID;22.999977;-;79.1;NELSEN;10.999997;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
41.573;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;452.9129;BS;WATER;WATER;64.99991;1;99.0;HYDROCHLORICACID;30.999964;-;79.1;NELSEN;4.0000086;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
42.663;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;552.049;BS;WATER;WATER;45.99994;1;99.0;HYDROCHLORICACID;39.99995;-;79.1;NELSEN;13.999992;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
43.759;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;472.9129;BS;WATER;WATER;75.99989;1;99.0;HYDROCHLORICACID;21.999979;-;79.1;NELSEN;2.0000114;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
44.845;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;624.10284;BS;WATER;WATER;50.999935;1;99.0;HYDROCHLORICACID;35.999958;-;79.1;NELSEN;12.999993;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
45.93;----;----;923.5269;13127.672;6431.268;-5652.5503;2310.08;-2213.0808;5549.7603;-2899.3977;1346.0486;-2053.0073;598.049;BS;WATER;HYDROCHLORICACID;48.999935;1;79.1;WATER;35.999958;-;99.0;NELSEN;14.99999;-;98.2;ACETONE;1.4843378E-5;-;80.5;SODIUM_HYPOCHLORITE;1.4843378E-5;-;97.3;FORMICACID;1.4843378E-5;-;83.4;ACETICACID;1.4843378E-5;-;96.2;ETHANOL;1.4843378E-5;-;92.1;PHOSPHORICACID;1.4843378E-5;-;89.4;HYDROGENPEROXIDE;1.4843378E-5;-;67.0;SODIUM_CHLORIDE;1.4843378E-5;-;90.3;;
